id,player_class,type,name,set,text,cost,attack,health,rarity,collectible,flavor,mechanics,dust,play_requirements,race,how_to_earn,how_to_earn_golden,targeting_arrow_text,faction,durability,entourage
NEW1_026,NEUTRAL,MINION,Violet Teacher,EXPERT1,"Whenever you cast a spell, summon a 1/1 Violet Apprentice.",4,3,5,RARE,True,"If you don't pay attention, you may be turned into a pig.  And then you get your name on the board.",,"[100, 800, 20, 100]",,,,,,,,
KAR_010a,PALADIN,MINION,Whelp,KARA,,1,1,1,,,,,,,DRAGON,,,,,,
XXX_105,NEUTRAL,SPELL,Add 8 to Health.,CHEAT,Adds 8 health to a damaged character. Does NOT heal.,0,,,COMMON,,,['ImmuneToSpellpower'],,{'REQ_TARGET_TO_PLAY': 0},,,,,,,
BRM_001,PALADIN,SPELL,Solemn Vigil,BRM,Draw 2 cards. Costs (1) less for each minion that died this turn.,5,,,COMMON,True,"Each year, folk gather in front of Blackrock Mountain to mourn those who were mind-controlled into the lava.",,,,,"Unlocked in Hidden Laboratory, in the Blackrock Mountain adventure.","Crafting unlocked in Hidden Laboratory, in the Blackrock Mountain adventure.",,,,
KAR_A10_04,NEUTRAL,MINION,White Rook,KARA,Auto-Attack: Deal 2 damage to the enemies opposite this minion.,3,2,6,,,,['AUTOATTACK'],,,,,,,,,
AT_032,ROGUE,MINION,Shady Dealer,TGT,"Battlecry: If you have a Pirate, gain +1/+1.",3,4,3,RARE,True,I have great deal for you... for 4 damage to your face!,['BATTLECRY'],"[100, 800, 20, 100]",,,,,,,,
EX1_565,SHAMAN,MINION,Flametongue Totem,CORE,Adjacent minions have +2 Attack.,2,0,3,COMMON,True,Totemsmiths like to use the rarest woods for their totems.  There are even rumors of totems made of Ironbark Protectors.,"['ADJACENT_BUFF', 'AURA']",,,TOTEM,Unlocked at Level 4.,Unlocked at Level 43.,,,,
XXX_056,NEUTRAL,SPELL,Silence and Destroy All Minions,CHEAT,Destroy all minions without triggering deathrattles.,0,,,,,,,,,,,,,,,
TB_PickYourFate_2_Ench,NEUTRAL,ENCHANTMENT,Pick Your Fate 2 Ench,TB,,,,,,,,,,,,,,,,,
TB_PickYourFate,NEUTRAL,ENCHANTMENT,Pick Your Fate Build Around,TB,,,,,,,,,,,,,,,,,"['TB_PickYourFate_9', 'TB_PickYourFate_10', 'TB_PickYourFate_11b', 'TB_PickYourFate_8']"
OG_318,NEUTRAL,MINION,"Hogger, Doom of Elwynn",OG,"Whenever this minion takes damage, summon a 2/2 Gnoll with Taunt.",7,6,6,LEGENDARY,True,"When C'thun went to sleep, he checked under his bed for Hogger.",,"[1600, 3200, 400, 1600]",,,,,,,,
OG_249a,NEUTRAL,MINION,Slime,OG,,2,2,2,,,,,,,,,,,,,
BRMA17_6H,NEUTRAL,MINION,Bone Construct,BRM,,1,4,2,,,,,,,,,,,,,
LOEA16_11,NEUTRAL,SPELL,Crown of Kael'thas,LOE,Deal $10 damage randomly split among ALL characters.,0,,,,,,['ImmuneToSpellpower'],,,,,,,,,
BRMC_84,NEUTRAL,MINION,Dragonkin Spellcaster,TB,Battlecry: Summon two 2/2 Whelps.,5,4,6,,,,['BATTLECRY'],,,DRAGON,,,,,,
BRMA09_5H,NEUTRAL,HERO_POWER,Dismount,BRM,"Hero Power
Summon Gyth. Get a new Hero Power.",4,,,,,,,,,,,,,,,"['BRMA09_2H', 'BRMA09_3H', 'BRMA09_4H']"
CS2_017o,DRUID,ENCHANTMENT,Claws,CORE,Your hero has +1 Attack this turn.,,,,,,,['TAG_ONE_TURN_EFFECT'],,,,,,,,,
AT_032e,ROGUE,ENCHANTMENT,Shady Deals,TGT,+1/+1.,,,,,,,,,,,,,,,,
EX1_400,WARRIOR,SPELL,Whirlwind,CORE,Deal $1 damage to ALL minions.,1,,,COMMON,True,"The way to tell seasoned warriors from novice ones: the novices yell ""wheeeee"" while whirlwinding.",,,,,Unlocked at Level 6.,Unlocked at Level 32.,,,,
EX1_534,HUNTER,MINION,Savannah Highmane,EXPERT1,Deathrattle: Summon two 2/2 Hyenas.,6,6,5,RARE,True,"In the jungle, the mighty jungle, the lion gets slowly consumed by hyenas.",['DEATHRATTLE'],"[100, 800, 20, 100]",,BEAST,,,,,,
EX1_371,PALADIN,SPELL,Hand of Protection,CORE,Give a minion Divine Shield.,1,,,FREE,True,"This spell has been renamed so many times, even paladins don�t know what it should be called anymore.",,,"{'REQ_TARGET_TO_PLAY': 0, 'REQ_MINION_TARGET': 0}",,Unlocked at Level 1.,Unlocked at Level 23.,,,,
BRMA16_5e,NEUTRAL,ENCHANTMENT,I hear you...,BRM,Increased Attack.,,,,,,,,,,,,,,,,
OG_061t,HUNTER,MINION,Mastiff,OG,,1,1,1,,,,,,,BEAST,,,,,,
NEW1_008,DRUID,MINION,Ancient of Lore,EXPERT1,Choose One - Draw a card,,7,5,5,EPIC,True,"Go ahead, carve your initials in him.",['CHOOSE_ONE'],"[400, 1600, 100, 400]",{'REQ_TARGET_IF_AVAILABLE': 0},,,,,,
TB_GreatCurves_01,NEUTRAL,ENCHANTMENT,TB_ClockworkCardDealer,TB,,,,,,,,,,,,,,,,,
AT_057,HUNTER,MINION,Stablemaster,TGT,Battlecry: Give a friendly Beast Immune this turn.,3,4,2,EPIC,True,"Takes way better care of her pets than her brother, Unstablemaster.",['BATTLECRY'],"[400, 1600, 100, 400]","{'REQ_TARGET_WITH_RACE': 20, 'REQ_FRIENDLY_TARGET': 0, 'REQ_TARGET_IF_AVAILABLE': 0}",,,,Grant Immune this turn.,,,
EX1_366e,PALADIN,ENCHANTMENT,Justice Served,EXPERT1,Has +1/+1.,,,,,,,,,,,,,,,,
AT_061e,HUNTER,ENCHANTMENT,Lock and Load,TGT,,,,,,,,['TAG_ONE_TURN_EFFECT'],,,,,,,,,
EX1_161,DRUID,SPELL,Naturalize,EXPERT1,Destroy a minion. Your opponent draws 2 cards.,1,,,COMMON,True,Another one bites the dust.,,"[40, 400, 5, 50]","{'REQ_TARGET_TO_PLAY': 0, 'REQ_MINION_TARGET': 0}",,,,,,,
BRM_034,NEUTRAL,MINION,Blackwing Corruptor,BRM,"Battlecry: If you're holding a Dragon, deal 3 damage.",5,5,4,COMMON,True,He got his name when he gave Blackwing some comic books and rock & roll records.,['BATTLECRY'],,{'REQ_TARGET_IF_AVAILABLE_AND_DRAGON_IN_HAND': 0},,"Unlocked in Hidden Laboratory, in the Blackrock Mountain adventure.","Crafting unlocked in Hidden Laboratory, in the Blackrock Mountain adventure.",Deal 3 damage.,,,
EX1_392,WARRIOR,SPELL,Battle Rage,EXPERT1,Draw a card for each damaged friendly character.,2,,,COMMON,True,"""You won't like me when I'm angry.""",,"[40, 400, 5, 50]",{'REQ_MINION_TARGET': 0},,,,,,,
OG_138e,NEUTRAL,ENCHANTMENT,Will of the Vizier,OG,Reduced Cost.,,,,,,,,,,,,,,,,
TB_PickYourFate_5_Ench,NEUTRAL,ENCHANTMENT,Pick Your Fate 5 Ench,TB,,,,,,,,,,,,,,,,,
BRMA09_3H,NEUTRAL,HERO_POWER,Old Horde,BRM,"Hero Power
Summon two 2/2 Orcs with Taunt. Get a new Hero Power.",2,,,,,,,,,,,,,,,"['BRMA09_2H', 'BRMA09_4H', 'BRMA09_5H']"
KAR_A02_12H,NEUTRAL,HERO,Silverware Golem,KARA,,,,30,,,,,,,,,,,,,
CRED_27,NEUTRAL,MINION,Henry Ho,CREDITS,Battlecry: Spectate your opponent's hand.,3,3,4,LEGENDARY,,,,,,,,,,,,
EX1_334e,PRIEST,ENCHANTMENT,Shadow Madness,EXPERT1,This minion has switched controllers this turn.,,,,,,,,,,,,,,,,
LOEA04_25h,NEUTRAL,MINION,Seething Statue,LOE,"At the end of your turn, deal 5 damage to all enemies.",8,5,9,,,,,,,,,,,,,
CS2_034_H2_AT_132,MAGE,HERO_POWER,Fireblast Rank 2,HERO_SKINS,"Hero Power
Deal $2 damage.",2,,,,,,,,{'REQ_TARGET_TO_PLAY': 0},,,,,,,
EX1_295,MAGE,SPELL,Ice Block,EXPERT1,"Secret: When your hero takes fatal damage, prevent it and become Immune this turn.",3,,,EPIC,True,"Ice is nice, and will suffice!",['SECRET'],"[400, 1600, 100, 400]",,,,,,,,
AT_005,MAGE,SPELL,Polymorph: Boar,TGT,Transform a minion into a 4/2 Boar with Charge.,3,,,RARE,True,It's always Huffer.,,"[100, 800, 20, 100]","{'REQ_TARGET_TO_PLAY': 0, 'REQ_MINION_TARGET': 0}",,,,,,,
AT_075,PALADIN,MINION,Warhorse Trainer,TGT,Your Silver Hand Recruits have +1 Attack.,3,2,4,COMMON,True,He doesn't even get Sundays off.  Every day he's hostling.,['AURA'],"[40, 400, 5, 50]",,,,,,,,
TB_KaraPortals_003,NEUTRAL,MINION,Party Elemental,TB,"Taunt.
 Comes with a party!",3,2,2,,,,['TAUNT'],,,,,,,,,
EX1_382e,PALADIN,ENCHANTMENT,Stand Down!,EXPERT1,Attack changed to 1.,,,,,,,,,,,,,,,,
CS2_124,NEUTRAL,MINION,Wolfrider,CORE,Charge,3,3,1,FREE,True,"Orcish raiders ride wolves because they are well adapted to harsh environments, and because they are soft and cuddly.",['CHARGE'],,,,,Unlocked at Warrior Level 59.,,HORDE,,
EX1_409e,WARRIOR,ENCHANTMENT,Upgraded,EXPERT1,+1 Attack and +1 Durability.,,,,,,,,,,,,,,,,
CS2_084,HUNTER,SPELL,Hunter's Mark,CORE,Change a minion's Health to 1.,1,,,COMMON,True,Never play 'Hide and Go Seek' with a Hunter.,,,"{'REQ_TARGET_TO_PLAY': 0, 'REQ_MINION_TARGET': 0}",,Unlocked at Level 6.,Unlocked at Level 40.,,,,
NAX15_04,NEUTRAL,HERO_POWER,Chains,NAXX,"Hero Power
Take control of a random enemy minion until end of turn.",8,,,,,,,,,,,,,,,
CS1h_001_H1_AT_132,PRIEST,HERO_POWER,Heal,HERO_SKINS,"Hero Power
Restore #4 Health.",2,,,,,,,,{'REQ_TARGET_TO_PLAY': 0},,,,,,,
KARA_13_15,NEUTRAL,MINION,Wanda Wonderhooves,TB,"Portals cost (1) less. 
<i>Does not count as a minion.</i>",2,1,2,LEGENDARY,,,,,,,,,,,,
TB_EndlessMinions01,NEUTRAL,ENCHANTMENT,Endless Enchantment,TB,+2/+2.,,,,,,,,,,,,,,,,
LOEA10_1,NEUTRAL,HERO,Giantfin,LOE,,,,30,,,,,,,,,,,,,
GVG_019e,WARLOCK,ENCHANTMENT,Demonheart,GVG,+5/+5.,,,,,,,,,,,,,,,,
AT_132_WARLOCK,WARLOCK,HERO_POWER,Soul Tap,TGT,"Hero Power
Draw a card.",2,,,,,,,,,,,,,,,
AT_071,WARRIOR,MINION,Alexstrasza's Champion,TGT,"Battlecry: If you're holding a Dragon, gain +1 Attack and Charge.",2,2,3,RARE,True,"""Put more spikes on her.  No, more spikes.  What part of 'more spikes' do you not understand?  MORE SPIKES!"" - Alexstrasza",['BATTLECRY'],"[100, 800, 20, 100]",,,,,,,,
OG_241,WARLOCK,MINION,Possessed Villager,OG,Deathrattle: Summon a 1/1 Shadowbeast.,1,1,1,COMMON,True,It's like a pinata! A lame disgusting horrific pinata.,['DEATHRATTLE'],"[40, 400, 5, 50]",,,,,,,,
NAX12_01,NEUTRAL,HERO,Gluth,NAXX,,,,30,,,,,,,,,,,,,
LOEA06_02h,NEUTRAL,HERO_POWER,Stonesculpting,LOE,"Hero Power
 Summon a Statue for both players.",1,,,,,,['AI_MUST_PLAY'],,,,,,,,,
KARA_00_01,NEUTRAL,HERO,Prince Malchezaar,KARA,,,,30,,,,,,,,,,,,,
AT_036,ROGUE,MINION,Anub'arak,TGT,Deathrattle: Return this to your hand and summon a 4/4 Nerubian.,9,8,4,LEGENDARY,True,"Was actually a pretty nice guy before, you know, the whole Lich King thing.",['DEATHRATTLE'],"[1600, 3200, 400, 1600]",,,,,,,,
AT_122,NEUTRAL,MINION,Gormok the Impaler,TGT,"Battlecry: If you have at least 4 other minions, deal 4 damage.",4,4,4,LEGENDARY,True,Gormok has been giving impaling lessons in a small tent near the tournament grounds.  For only 25g you too could learn the fine art of impaling!,['BATTLECRY'],"[1600, 3200, 400, 1600]",{'REQ_TARGET_IF_AVAILABLE_AND_MINIMUM_FRIENDLY_MINIONS': 4},,,,Deal 4 damage.,,,
CS2_049,SHAMAN,HERO_POWER,Totemic Call,CORE,"Hero Power
Summon a random Totem.",2,,,FREE,,,,,"{'REQ_ENTIRE_ENTOURAGE_NOT_IN_PLAY': 0, 'REQ_NUM_MINION_SLOTS': 1}",,,,,,,"['CS2_050', 'CS2_051', 'CS2_052', 'NEW1_009']"
OG_202ae,DRUID,ENCHANTMENT,Y'Shaarj's Strength,OG,+3/+3.,,,,RARE,,,,,,,,,,,,
KARA_13_12H,NEUTRAL,SPELL,Demonic Presence,KARA,"Draw 3 cards.
Gain 10 Armor.",3,,,,,,,,,,,,,,,
LOE_027,PALADIN,SPELL,Sacred Trial,LOE,"Secret: After your opponent has at least 3 minions and plays another, destroy it.",1,,,COMMON,True,You have chosen poorly.,['SECRET'],,,,"Unlocked in the Temple of Orsis, in the League of Explorers adventure.","Crafting unlocked in the Temple of Orsis, in the League of Explorers adventure.",,,,
OG_188e,NEUTRAL,ENCHANTMENT,Amber Carapace,OG,+5 Health.,,,,,,,,,,,,,,,,
EX1_596e,WARLOCK,ENCHANTMENT,Demonfire,EXPERT1,This Demon has +2/+2.,,,,COMMON,,,,,,,,,,,,
LOEA02_02h,NEUTRAL,HERO_POWER,Djinn�s Intuition,LOE,Draw a card. Gain a Mana Crystal. Give your opponent a Wish.,0,,,,,,['AI_MUST_PLAY'],,,,,,,,,
OG_327,NEUTRAL,MINION,Squirming Tentacle,OG,Taunt,3,2,4,COMMON,True,"Yeah, I think we can agree that killing the squirming tentacle first is a good idea.",['TAUNT'],"[40, 400, 5, 50]",,,,,,,,
BRMA13_3H,NEUTRAL,HERO,Nefarian,BRM,,,,30,,,,,,,,,,,,,"['BRMA13_8', 'BRMA13_7', 'BRMA13_6', 'BRMA13_5']"
KARA_09_05heroic,NEUTRAL,SPELL,Summon Kil'rek,KARA,Summon Kil'rek.,4,,,,,,,,{'REQ_NUM_MINION_SLOTS': 1},,,,,,,
OG_006,PALADIN,MINION,Vilefin Inquisitor,OG,Battlecry: Your Hero Power becomes 'Summon a   1/1 Murloc.',1,1,3,EPIC,True,Nobody expects the Vilefin Inquisition!,['BATTLECRY'],"[400, 1600, 100, 400]",,MURLOC,,,,,,
BRMC_100,NEUTRAL,SPELL,Living Bomb,TB,"Choose an enemy minion. If it lives until your next turn, deal $5 damage to all enemies.",3,,,,,,,,"{'REQ_ENEMY_TARGET': 0, 'REQ_TARGET_TO_PLAY': 0, 'REQ_MINION_TARGET': 0}",,,,,,,
CS2_152,NEUTRAL,MINION,Squire,EXPERT1,,1,2,2,COMMON,,,,"[40, 400, 5, 50]",,,,,,ALLIANCE,,
BRMA13_2,NEUTRAL,HERO_POWER,True Form,BRM,"Hero Power
Let the games begin!",1,,,,,,['AI_MUST_PLAY'],,,,,,,,,"['BRMA13_6', 'BRMA13_8', 'BRMA13_7', 'BRMA13_5']"
AT_042a,DRUID,SPELL,Lion Form,TGT,Charge,0,,,COMMON,,,,"[40, 400, 5, 50]",,,,,,,,
TB_KTRAF_6,NEUTRAL,MINION,Grobbulus,TB,"Whenever this kills a minion, summon a poisonous 2/2 Slime.",5,4,7,LEGENDARY,,,,,,,,,,,,
BRMA12_1,NEUTRAL,HERO,Chromaggus,BRM,,,,30,,,,,,,,,,,,,
OG_141,NEUTRAL,MINION,Faceless Behemoth,OG,,10,10,10,COMMON,True,"Rejected names: Forty-Foot Faceless, Big ol' No-face, Huge Creature Sans Face, Teddy.",,"[40, 400, 5, 50]",,,,,,,,
KAR_a10_Boss1H,NEUTRAL,HERO,White King,KARA,,,,20,,,,,,,,,,,,,
BRMA12_1H,NEUTRAL,HERO,Chromaggus,BRM,,,,60,,,,,,,,,,,,,
EX1_303,WARLOCK,SPELL,Shadowflame,EXPERT1,Destroy a friendly minion and deal its Attack damage to all enemy minions.,4,,,RARE,True,Start with a powerful minion and stir in Shadowflame and you have a good time!,,"[100, 800, 20, 100]","{'REQ_TARGET_TO_PLAY': 0, 'REQ_FRIENDLY_TARGET': 0, 'REQ_MINION_TARGET': 0}",,,,,,,
NEW1_037,NEUTRAL,MINION,Master Swordsmith,EXPERT1,"At the end of your turn, give another random friendly minion +1 Attack.",2,1,3,RARE,True,"He's currently trying to craft a ""flail-axe"", but all the other swordsmiths say it can't be done.",,"[100, 800, 20, 100]",,,,,,,,
EX1_611e,HUNTER,ENCHANTMENT,Trapped,EXPERT1,Will be Frozen again at the start of the next turn.,,,,,,,,,,,,,,,,
EX1_033,NEUTRAL,MINION,Windfury Harpy,EXPERT1,Windfury,6,4,5,COMMON,True,Harpies are not pleasant sounding.  That's the nicest I can put it.,['WINDFURY'],"[40, 400, 5, 50]",,,,,,ALLIANCE,,
LOEA07_20,NEUTRAL,SPELL,Boom!,LOE,Deal $3 damage to all enemy minions.,1,,,,,,,,,,,,,,,
AT_059,HUNTER,MINION,Brave Archer,TGT,"Inspire: If your hand is empty, deal 2 damage to the enemy hero.",1,2,1,COMMON,True,"This is a ""bearly"" concealed reference.",['INSPIRE'],"[40, 400, 5, 50]",,,,,,,,
TB_Coopv3_105,NEUTRAL,MINION,Raid Healer,TB,"Whenever your hero is healed, also heal your teammate for that much.",4,0,7,,,,,,,,,,,,,
CS2_087,PALADIN,SPELL,Blessing of Might,CORE,Give a minion +3 Attack.,1,,,FREE,True,"""As in, you MIGHT want to get out of my way."" - Toad Mackle, recently buffed.",,,"{'REQ_TARGET_TO_PLAY': 0, 'REQ_MINION_TARGET': 0}",,Unlocked at Level 1.,Unlocked at Level 45.,,,,
TB_PickYourFate_8_Ench,NEUTRAL,ENCHANTMENT,Fate 8 Get Armor,TB,,,,,,,,,,,,,,,,,
OG_280,NEUTRAL,MINION,C'Thun,OG,Battlecry: Deal damage equal to this minion's Attack randomly split among all enemies.,10,6,6,LEGENDARY,True,C'Thun's least favorite Hearthstone card: Eye for an Eye.,['BATTLECRY'],"[1600, 3200, 400, 1600]",,,Unlocked when opening a Whispers of the Old Gods pack.,Crafting unlocked after opening a Whispers of the Old Gods pack.,,,,
BRMA04_1,NEUTRAL,HERO,Garr,BRM,,,,30,,,,,,,,,,,,,
CRED_33,NEUTRAL,MINION,Jomaro Kindred,CREDITS,Battlecry: TAKE any cards from your opponent's hand that they don't want.,6,7,6,LEGENDARY,,,,,,,,,,,,
XXX_009e,NEUTRAL,ENCHANTMENT,Empty Enchant,CHEAT,This enchantment does nothing.,,,,COMMON,,,,,,,,,,,,
EX1_573a,DRUID,SPELL,Demigod's Favor,EXPERT1,Give your other minions +2/+2.,0,,,,,,,,,,,,,,,
BRM_010b,DRUID,SPELL,Fire Hawk Form,BRM,Transform into a 2/5 minion.,0,,,COMMON,,,,,,,,,,,,
BRMA12_3,NEUTRAL,SPELL,Brood Affliction: Red,BRM,"While this is in your hand, take 1 damage at the start of your turn.",1,,,,,,"['EVIL_GLOW', 'ImmuneToSpellpower']",,,,,,,,,
CS2_092e,PALADIN,ENCHANTMENT,Blessing of Kings,CORE,+4/+4.,,,,,,,,,,,,,,,,
NEW1_007b,DRUID,SPELL,Starfall,EXPERT1,Deal $5 damage to a minion.,0,,,,,,,,"{'REQ_TARGET_TO_PLAY': 0, 'REQ_MINION_TARGET': 0}",,,,,,,
OG_284,NEUTRAL,MINION,Twilight Geomancer,OG,"[x]Taunt
Battlecry: Give your C'Thun
Taunt <i>(wherever it is).</i>",2,1,4,COMMON,True,"""Ok C'Thun, repeat after me: 'Your mother was a hamster.'""","['BATTLECRY', 'RITUAL', 'TAUNT']","[40, 400, 5, 50]",,,,,,,,
LOE_017,PALADIN,MINION,Keeper of Uldaman,LOE,Battlecry: Set a minion's Attack and Health to 3.,4,3,4,COMMON,True,"U da man!  No, U da man!",['BATTLECRY'],,"{'REQ_TARGET_IF_AVAILABLE': 0, 'REQ_MINION_TARGET': 0}",,"Unlocked in Uldaman, in the League of Explorers adventure.","Crafting unlocked in Uldaman, in the League of Explorers adventure.",Change to 3/3.,,,
GVG_012,PRIEST,SPELL,Light of the Naaru,GVG,"Restore #3 Health. If the target is still damaged, summon a Lightwarden.",1,,,RARE,True,"""Light it up!"" - Command given to both Lightwardens and Goblins holding Flamecannons.",,"[100, 800, 20, 100]",{'REQ_TARGET_TO_PLAY': 0},,,,,,,
LOEA09_9,NEUTRAL,SPELL,Naga Repellent,LOE,Destroy all Hungry Naga.,1,,,,,,,,,,,,,,,
OG_044b,DRUID,MINION,Druid of the Flame,BRM,,3,5,5,COMMON,,,,,,BEAST,,,,,,
OG_301,WARRIOR,MINION,Ancient Shieldbearer,OG,"Battlecry: If your C'Thun has at least 10 Attack, gain 10 Armor.",7,6,6,RARE,True,"Back in her day, each shield weighed two tons and she had to carry four of them on each arm!","['BATTLECRY', 'RITUAL']","[100, 800, 20, 100]",,,,,,,,
LOEA05_02a,NEUTRAL,HERO_POWER,Trogg Hate Minions!,LOE,"Passive Hero Power
 Enemy minions cost (2) more. Swap at the start of your turn.",0,,,,,,,,,,,,,,,
GVG_017,HUNTER,SPELL,Call Pet,GVG,"Draw a card.
If it's a Beast, it costs (4) less.",2,,,RARE,True,Real hunters tame hungry crabs.,,"[100, 800, 20, 100]",,,,,,,,
OG_087,MAGE,MINION,Servant of Yogg-Saron,OG,Battlecry: Cast a random spell that costs (5) or less <i>(targets chosen randomly)</i>.,5,5,4,RARE,True,Yogg-Saron always likes to complain about how he has too many servants and there are too many mouths to feed.,['BATTLECRY'],"[100, 800, 20, 100]",,,,,,,,
OG_241a,WARLOCK,MINION,Shadowbeast,OG,,1,1,1,,,,,,,,,,,,,
LOEA06_04,NEUTRAL,SPELL,Shattering Spree,LOE,"Destroy all Statues. For each destroyed, deal 1 damage.",2,,,,,,,,{'REQ_TARGET_TO_PLAY': 0},,,,,,,
TB_KTRAF_10e,NEUTRAL,ENCHANTMENT,Dark Power,TB,Granted power from Noth,,,,,,,,,,,,,,,,
NAX15_05,NEUTRAL,MINION,Mr. Bigglesworth,NAXX,<i>This is Kel'Thuzad's kitty.</i>,0,1,1,LEGENDARY,,,['InvisibleDeathrattle'],,,BEAST,,,,,,
TB_KTRAF_HP_KT_3,NEUTRAL,HERO_POWER,Necromancy,TB,Resurrect a random friendly minion that died this game.,2,,,,,,,,{'REQ_FRIENDLY_MINION_DIED_THIS_GAME': 0},,,,,,,
TB_ClassRandom_Warrior,WARRIOR,SPELL,Second Class: Warrior,TB,Add Warrior cards to your deck.,0,,,,,,,,,,,,,,,
EX1_158,DRUID,SPELL,Soul of the Forest,EXPERT1,"Give your minions ""Deathrattle: Summon a 2/2 Treant.""",4,,,COMMON,True,"""Reforestation"" is suddenly a terrifying word.",,"[40, 400, 5, 50]",,,,,,,,
FP1_031,NEUTRAL,MINION,Baron Rivendare,NAXX,Your minions trigger their Deathrattles twice.,4,1,7,LEGENDARY,True,There used to be five Horsemen but one of them left because a job opened up in the deadmines and the benefits were better.,['AURA'],,,,"Unlocked in The Military Quarter, in the Naxxramas adventure.","Crafting unlocked in The Military Quarter, in the Naxxramas adventure.",,,,
EX1_158t,DRUID,MINION,Treant,EXPERT1,,2,2,2,,,,,,,,,,,,,
TB_KTRAF_2,NEUTRAL,MINION,Lady Blaumeux,TB,Battlecry: Summon a fellow Horseman.,4,2,7,LEGENDARY,,,['BATTLECRY'],,,,,,,,,
AT_097,NEUTRAL,MINION,Tournament Attendee,TGT,Taunt,1,2,1,COMMON,True,He was so excited to get season tickets to this year's Grand Tournament.  He normally doesn't get them at first and has to buy them from Ogre scalpers.,['TAUNT'],"[40, 400, 5, 50]",,,,,,,,
FP1_001,NEUTRAL,MINION,Zombie Chow,NAXX,Deathrattle: Restore 5 Health to the enemy hero.,1,2,3,COMMON,True,Zombie.  It's what's for dinner.,['DEATHRATTLE'],,,,"Unlocked in The Construct Quarter, in the Naxxramas adventure.","Crafting unlocked in The Construct Quarter, in the Naxxramas adventure.",,,,
GVG_094,NEUTRAL,MINION,Jeeves,GVG,"At the end of each player's turn, that player draws until they have 3 cards.",4,1,4,RARE,True,"This robot is a lean, mean, butlerin' machine.",,"[100, 800, 20, 100]",,MECHANICAL,,,,,,
AT_068e,WARRIOR,ENCHANTMENT,Bolstered,TGT,+2/+2.,,,,,,,,,,,,,,,,
CS2_200,NEUTRAL,MINION,Boulderfist Ogre,CORE,,6,6,7,FREE,True,"""ME HAVE GOOD STATS FOR THE COST""",,,,,,Unlocked at Warlock Level 51.,,,,
TB_Coopv3_101,NEUTRAL,MINION,Freewheeling Skulker,TB,"At the end of your turn, switch sides.",5,5,6,,,,,,,,,,,,,
BRMA12_8te,NEUTRAL,ENCHANTMENT,Draconic Lineage,BRM,+2/+2,,,,,,,,,,,,,,,,
AT_121e,NEUTRAL,ENCHANTMENT,Huge Ego,TGT,Increased stats.,,,,,,,,,,,,,,,,
TB_015,NEUTRAL,MINION,Pirate,TB,,2,2,3,,,,,,,PIRATE,,,,,,
